Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day of the week,Call Duration,Campaign,Pdays,Previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
55,Blue-Collar,Married,Basic 4Y,Unknown,Unknown,Unknown,Telephone,Jun,Mon,54,3,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
35,Admin,Married,University Degree,No,No,No,Telephone,Jun,Mon,27,3,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
38,Admin,Married,High School,No,No,No,Telephone,Jun,Mon,117,2,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
42,Admin,Married,University Degree,No,No,No,Telephone,Jun,Mon,124,2,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
44,Blue-Collar,Married,Basic 4Y,Unknown,Yes,Yes,Telephone,Jun,Mon,165,4,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
33,Self-Employed,Married,Professional Course,No,Yes,No,Telephone,Jun,Mon,141,4,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
28,Management,Married,University Degree,No,No,No,Telephone,Jun,Mon,138,4,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
41,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Jun,Mon,385,1,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
23,Admin,Married,Professional Course,No,No,Yes,Telephone,Jun,Mon,266,3,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
58,Retired,Married,Basic 4Y,Unknown,Yes,No,Telephone,Jun,Mon,50,1,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
39,Unemployed,Married,Basic 4Y,No,No,No,Telephone,Jun,Mon,203,1,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
32,Self-Employed,Divorced,Professional Course,No,Yes,No,Telephone,Jun,Mon,118,1,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
41,Blue-Collar,Single,Unknown,Unknown,No,No,Telephone,Jun,Mon,780,3,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
39,Admin,Single,High School,No,Yes,Yes,Telephone,Jun,Mon,98,1,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
39,Admin,Single,High School,No,No,No,Telephone,Jun,Mon,202,1,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
39,Admin,Single,High School,No,No,Yes,Telephone,Jun,Mon,158,1,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
27,Technician,Single,University Degree,No,Yes,No,Telephone,Jun,Mon,224,2,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
28,Self-Employed,Single,University Degree,No,Yes,No,Telephone,Jun,Mon,73,2,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
54,Technician,Divorced,Basic 9Y,No,Yes,No,Telephone,Jun,Mon,111,2,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
29,Admin,Single,High School,No,Unknown,Unknown,Telephone,Jun,Mon,444,3,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
29,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Jun,Mon,69,3,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
37,Self-Employed,Single,University Degree,Unknown,No,Yes,Telephone,Jun,Mon,88,4,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
38,Technician,Single,University Degree,No,Yes,No,Telephone,Jun,Mon,104,2,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
44,Technician,Married,University Degree,No,No,No,Telephone,Jun,Mon,252,4,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
53,Technician,Married,Basic 9Y,No,No,No,Telephone,Jun,Mon,1049,6,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,Yes
39,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,Jun,Mon,132,4,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
31,Housemaid,Married,Basic 4Y,No,No,No,Telephone,Jun,Mon,260,3,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
41,Blue-Collar,Married,Basic 4Y,No,Yes,Yes,Telephone,Jun,Mon,450,2,999,0,Nonexistent,1.4,94.465,-41.8,4.947,5228.1,No
41,Entrepreneur,Married,University Degree,No,Yes,Yes,Telephone,Jul,Tue,381,4,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
49,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Jul,Tue,158,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
25,Services,Married,High School,No,Yes,No,Telephone,Jul,Tue,479,9,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,Yes
41,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Tue,281,3,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
53,Management,Married,University Degree,No,No,Yes,Telephone,Jul,Tue,128,3,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
41,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Jul,Tue,471,3,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
56,Retired,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Tue,58,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
41,Services,Single,High School,No,Yes,No,Telephone,Jul,Tue,108,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
35,Blue-Collar,Married,Unknown,No,Yes,No,Telephone,Jul,Tue,140,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
28,Admin,Married,High School,No,Yes,No,Telephone,Jul,Tue,54,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
28,Admin,Married,High School,No,No,No,Telephone,Jul,Tue,249,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
33,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Tue,102,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
29,Self-Employed,Married,University Degree,No,No,No,Telephone,Jul,Tue,215,3,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
54,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,Jul,Tue,34,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
31,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Jul,Tue,161,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
40,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Jul,Tue,428,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
34,Technician,Single,Professional Course,No,Yes,No,Telephone,Jul,Tue,157,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
37,Technician,Married,Professional Course,No,Yes,No,Telephone,Jul,Tue,242,6,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
28,Blue-Collar,Single,Basic 6Y,No,No,No,Telephone,Jul,Tue,117,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
45,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Jul,Tue,80,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
28,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Jul,Tue,36,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
36,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Jul,Tue,89,7,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
26,Unemployed,Single,High School,No,No,No,Telephone,Jul,Tue,173,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
38,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,Jul,Tue,150,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
38,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,Jul,Tue,292,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
44,Admin,Divorced,Unknown,No,No,No,Telephone,Jul,Tue,183,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
27,Unemployed,Married,Basic 9Y,Unknown,No,No,Telephone,Jul,Tue,200,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
56,Services,Divorced,High School,No,No,Yes,Telephone,Jul,Tue,150,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
52,Technician,Married,Professional Course,Unknown,No,No,Telephone,Jul,Tue,304,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
42,Unemployed,Married,Basic 9Y,Unknown,Yes,No,Telephone,Jul,Tue,163,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
49,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Jul,Tue,122,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
36,Technician,Married,High School,No,No,No,Telephone,Jul,Tue,426,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
58,Management,Married,University Degree,No,No,No,Telephone,Jul,Tue,55,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
41,Housemaid,Married,High School,No,No,Yes,Telephone,Jul,Tue,86,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
43,Technician,Single,Professional Course,No,Yes,Yes,Telephone,Jul,Tue,359,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
37,Admin,Married,High School,No,No,No,Telephone,Jul,Tue,305,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
38,Blue-Collar,Married,Basic 9Y,No,Unknown,Unknown,Telephone,Jul,Tue,110,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
55,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Tue,92,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
55,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Tue,86,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
33,Services,Married,High School,Unknown,Yes,No,Telephone,Jul,Tue,102,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
53,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Jul,Tue,39,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
42,Admin,Married,Basic 6Y,No,No,No,Telephone,Jul,Tue,340,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
37,Services,Divorced,High School,No,No,No,Telephone,Jul,Tue,125,3,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
41,Blue-Collar,Married,Unknown,No,No,No,Telephone,Jul,Tue,529,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
35,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Jul,Tue,196,4,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
47,Retired,Married,Basic 4Y,No,No,No,Telephone,Jul,Tue,484,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
32,Admin,Married,University Degree,No,No,No,Telephone,Jul,Tue,56,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
47,Blue-Collar,Divorced,Basic 9Y,No,No,No,Telephone,Jul,Tue,245,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
57,Retired,Divorced,University Degree,No,No,No,Telephone,Jul,Tue,156,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
57,Self-Employed,Married,Professional Course,No,Yes,Yes,Telephone,Jul,Tue,221,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
54,Retired,Married,High School,No,Yes,Yes,Telephone,Jul,Tue,1992,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
41,Services,Single,Professional Course,No,Yes,No,Telephone,Jul,Tue,143,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
35,Admin,Married,High School,No,Yes,Yes,Telephone,Jul,Tue,157,1,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
27,Entrepreneur,Single,University Degree,No,Yes,No,Telephone,Jul,Tue,420,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
40,Blue-Collar,Married,Basic 9Y,No,No,Yes,Telephone,Jul,Tue,1135,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,Yes
40,Admin,Married,High School,No,No,Yes,Telephone,Jul,Tue,289,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
53,Technician,Married,Professional Course,No,Yes,No,Telephone,Jul,Tue,307,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
53,Services,Married,Basic 9Y,No,Yes,No,Telephone,Jul,Tue,723,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,No
42,Management,Married,University Degree,No,No,Yes,Telephone,Jul,Tue,650,2,999,0,Nonexistent,1.4,93.918,-42.7,4.955,5228.1,Yes
43,Blue-Collar,Single,Basic 4Y,No,No,No,Telephone,Jul,Wed,660,3,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
26,Blue-Collar,Married,University Degree,No,No,No,Telephone,Jul,Wed,63,4,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
40,Admin,Divorced,High School,No,No,No,Telephone,Jul,Wed,96,7,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
39,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,Jul,Wed,218,2,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
46,Housemaid,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Wed,220,2,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
41,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Jul,Wed,144,5,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
36,Technician,Single,High School,No,No,No,Telephone,Jul,Wed,97,4,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
38,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Jul,Wed,32,3,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
43,Technician,Single,Professional Course,No,No,No,Telephone,Jul,Wed,44,2,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
50,Blue-Collar,Divorced,Basic 9Y,No,No,No,Telephone,Jul,Wed,79,3,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
39,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Jul,Wed,306,2,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
30,Blue-Collar,Single,High School,No,No,No,Telephone,Jul,Wed,71,1,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
47,Technician,Married,Professional Course,No,No,No,Telephone,Jul,Wed,348,3,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
49,Technician,Single,High School,No,Yes,No,Telephone,Jul,Wed,144,1,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
28,Unemployed,Single,High School,No,Yes,No,Telephone,Jul,Wed,203,1,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
31,Services,Single,High School,No,No,No,Telephone,Jul,Wed,106,1,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
51,Services,Married,High School,Unknown,No,No,Telephone,Jul,Wed,372,1,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
28,Services,Married,High School,No,No,No,Telephone,Jul,Wed,60,2,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
28,Management,Married,University Degree,No,Yes,No,Telephone,Jul,Wed,134,2,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
28,Admin,Single,University Degree,No,Yes,Yes,Telephone,Jul,Wed,108,3,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
38,Services,Divorced,Basic 9Y,No,Yes,No,Telephone,Jul,Wed,33,2,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
30,Self-Employed,Married,University Degree,No,Yes,Yes,Telephone,Jul,Wed,957,3,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
46,Services,Married,High School,No,No,No,Telephone,Jul,Wed,83,3,999,0,Nonexistent,1.4,93.918,-42.7,4.956,5228.1,No
40,Admin,Divorced,Professional Course,Unknown,No,No,Telephone,Jul,Thu,343,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
51,Services,Married,High School,No,Yes,No,Telephone,Jul,Thu,158,3,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
45,Management,Single,University Degree,No,No,Yes,Telephone,Jul,Thu,269,3,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
36,Retired,Married,Unknown,No,No,No,Telephone,Jul,Thu,269,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
46,Admin,Married,High School,Unknown,No,No,Telephone,Jul,Thu,375,3,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
48,Entrepreneur,Married,Basic 6Y,No,Yes,No,Telephone,Jul,Thu,202,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
32,Housemaid,Married,Basic 9Y,No,No,No,Telephone,Jul,Thu,149,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
30,Blue-Collar,Divorced,Basic 4Y,No,Yes,Yes,Telephone,Jul,Thu,111,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
56,Management,Married,University Degree,No,Yes,No,Telephone,Jul,Thu,188,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
29,Admin,Single,University Degree,No,Yes,No,Telephone,Jul,Thu,211,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
43,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Jul,Thu,24,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
29,Technician,Single,University Degree,No,Yes,No,Telephone,Jul,Thu,109,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
42,Blue-Collar,Married,Basic 4Y,Unknown,Yes,Yes,Telephone,Jul,Thu,472,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
39,Technician,Single,Professional Course,No,Yes,No,Telephone,Jul,Thu,452,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
52,Retired,Divorced,Professional Course,No,No,No,Telephone,Jul,Thu,269,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
39,Technician,Single,Professional Course,No,No,No,Telephone,Jul,Thu,206,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
40,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Jul,Thu,228,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
53,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Jul,Thu,183,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
30,Blue-Collar,Single,Basic 4Y,No,No,No,Telephone,Jul,Thu,267,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
36,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Jul,Thu,414,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
28,Blue-Collar,Married,High School,No,Yes,No,Telephone,Jul,Thu,60,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
37,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,Jul,Thu,95,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
38,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Jul,Thu,85,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
38,Blue-Collar,Married,High School,No,Yes,No,Telephone,Jul,Thu,125,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
48,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Jul,Thu,256,3,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
45,Admin,Married,High School,No,No,No,Telephone,Jul,Thu,172,10,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
58,Technician,Married,University Degree,No,No,No,Telephone,Jul,Thu,84,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
41,Admin,Married,High School,No,No,No,Telephone,Jul,Thu,412,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
35,Unemployed,Married,Basic 9Y,Unknown,No,No,Telephone,Jul,Thu,88,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
42,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Jul,Thu,130,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
53,Technician,Divorced,Professional Course,No,No,No,Telephone,Jul,Thu,115,4,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
38,Technician,Single,University Degree,Unknown,Yes,Yes,Telephone,Jul,Thu,168,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
55,Admin,Married,Basic 9Y,Unknown,Yes,No,Telephone,Jul,Thu,197,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
54,Admin,Divorced,Unknown,Unknown,No,No,Telephone,Jul,Thu,154,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
50,Blue-Collar,Married,Basic 9Y,Unknown,Unknown,Unknown,Telephone,Jul,Thu,90,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
57,Housemaid,Divorced,Basic 6Y,No,Yes,No,Telephone,Jul,Thu,51,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
39,Admin,Single,High School,No,No,No,Telephone,Jul,Thu,89,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
39,Admin,Single,High School,No,No,No,Telephone,Jul,Thu,108,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
39,Admin,Single,High School,No,No,No,Telephone,Jul,Thu,97,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
43,Management,Married,University Degree,No,No,Yes,Telephone,Jul,Thu,203,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
35,Admin,Divorced,University Degree,Unknown,No,No,Telephone,Jul,Thu,203,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
36,Retired,Married,Unknown,No,No,No,Telephone,Jul,Thu,88,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
36,Retired,Married,Unknown,No,No,No,Telephone,Jul,Thu,88,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
29,Admin,Single,University Degree,No,No,No,Telephone,Jul,Thu,42,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
37,Technician,Married,Basic 9Y,No,Yes,No,Telephone,Jul,Thu,991,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
34,Admin,Divorced,University Degree,No,No,No,Telephone,Jul,Thu,676,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,Yes
34,Management,Married,University Degree,No,Yes,No,Telephone,Jul,Thu,652,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
29,Blue-Collar,Divorced,High School,No,Yes,No,Telephone,Jul,Thu,178,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
52,Housemaid,Single,Basic 4Y,No,Yes,No,Telephone,Jul,Thu,306,4,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
24,Admin,Single,High School,No,Yes,Yes,Telephone,Jul,Thu,354,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
27,Services,Married,Basic 9Y,No,No,No,Telephone,Jul,Thu,100,3,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
30,Technician,Married,Professional Course,No,Yes,No,Telephone,Jul,Thu,501,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
34,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Jul,Thu,93,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
41,Services,Single,High School,Unknown,No,Yes,Telephone,Jul,Thu,504,1,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
57,Housemaid,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Thu,381,3,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
32,Services,Married,High School,No,Yes,No,Telephone,Jul,Thu,251,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
37,Technician,Married,Basic 9Y,No,No,No,Telephone,Jul,Thu,515,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
38,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Jul,Thu,389,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
50,Entrepreneur,Married,Professional Course,No,Yes,No,Telephone,Jul,Thu,155,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
28,Management,Single,Unknown,No,No,No,Telephone,Jul,Thu,135,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
39,Blue-Collar,Married,Basic 9Y,Unknown,No,Yes,Telephone,Jul,Thu,74,5,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
34,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Jul,Thu,225,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
30,Services,Married,Basic 9Y,No,No,Yes,Telephone,Jul,Thu,172,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
25,Services,Single,High School,No,Yes,No,Telephone,Jul,Thu,202,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
43,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Jul,Thu,155,3,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
26,Technician,Married,Professional Course,No,Yes,No,Telephone,Jul,Thu,277,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
46,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Jul,Thu,746,4,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
29,Entrepreneur,Single,University Degree,No,Yes,No,Telephone,Jul,Thu,167,11,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
23,Technician,Single,Professional Course,No,Yes,No,Telephone,Jul,Thu,194,2,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
55,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Jul,Thu,385,6,999,0,Nonexistent,1.4,93.918,-42.7,4.966,5228.1,No
36,Management,Married,Basic 6Y,Unknown,Yes,No,Telephone,Jul,Fri,124,2,999,0,Nonexistent,1.4,93.918,-42.7,4.959,5228.1,No
